currency,rate,date,rate_in_GBP
MUR,51.278078,2025-04-20,59.81429577924804
MUR,50.76868,2025-04-10,58.60140199159914
MVR,17.505585,2025-04-20,20.41972475994065
MVR,17.332595,2025-04-10,20.006712153094806
MWK,1954.306355,2025-04-10,2255.8217452983185
MWK,1974.242079,2025-04-20,2302.892469041909
MXN,23.197733,2025-04-10,26.77673866696524
MXN,22.428271,2025-04-20,26.161886087289215
MYR,5.012369,2025-04-20,5.84677377963998
MYR,5.0152,2025-04-10,5.788957902160702
MZN,72.675071,2025-04-20,84.77322790007558
MZN,71.946362,2025-04-10,83.04643101603413
NAD,21.879023,2025-04-10,25.25457471036165
NAD,21.444738,2025-04-20,25.01462519013447
NGN,1789.384913,2025-04-10,2065.455800789299
NGN,1824.921896,2025-04-20,2128.7150829126267
NIO,41.821916,2025-04-20,48.7839745803044
NIO,41.382171,2025-04-10,47.76671834004934
NOK,11.919455,2025-04-20,13.903676477449817
NOK,12.135946,2025-04-10,14.008310834442408
NPR,155.236349,2025-04-20,181.07841122236633
NPR,155.185829,2025-04-10,179.12829619813954
NZD,1.958623,2025-04-10,2.260804373345769
NZD,1.916394,2025-04-20,2.235414469816444
OMR,0.433414,2025-04-10,0.5002822220862734
OMR,0.437833,2025-04-20,0.5107186849693451
PAB,1.136596,2025-04-20,1.3258041638282583
PAB,1.126271,2025-04-10,1.3000349747616118
PEN,4.201864,2025-04-10,4.850138340764989
PEN,4.279452,2025-04-20,4.991848713617827
PGK,4.700463,2025-04-20,5.4829450546374146
PGK,4.58547,2025-04-10,5.292928057030793
PHP,64.495493,2025-04-20,75.2320025475686
PHP,64.499951,2025-04-10,74.45116865337933
PKR,319.104835,2025-04-20,372.22594390683173
PKR,315.94238,2025-04-10,364.686779655539
PLN,4.278742,2025-04-20,4.991020520525191
PLN,4.262713,2025-04-10,4.920375280346377
PYG,9020.492219,2025-04-10,10412.196864045138
PYG,9097.767521,2025-04-20,10612.265097610138
QAR,4.098415,2025-04-10,4.73072896406603
QAR,4.140223,2025-04-20,4.829442381090135
RON,4.978934,2025-04-20,5.807772883791677
RON,4.985734,2025-04-10,5.754945812205153
RSD,117.141223,2025-04-10,135.21407093528055
RSD,117.291464,2025-04-20,136.81687367605753
RUB,93.451578,2025-04-20,109.00838224727279
RUB,94.004581,2025-04-10,108.50784854427656
RWF,1609.188866,2025-04-20,1877.0691599555807
RWF,1592.939283,2025-04-10,1838.7020358081536
SAR,4.267179,2025-04-20,4.9775326378066636
SAR,4.226101,2025-04-10,4.8781146872067405
SBD,9.404944,2025-04-10,10.855962850570043
SBD,9.516785,2025-04-20,11.101036057894197
SCR,16.130237,2025-04-10,18.618851281080502
SCR,16.196165,2025-04-20,18.89232673267327
SDG,676.012639,2025-04-10,780.3096005143484
SDG,682.902492,2025-04-20,796.584685659895
SEK,10.955779,2025-04-20,12.77957815809856
SEK,11.06716,2025-04-10,12.77462979272548
SGD,1.490626,2025-04-20,1.7387692350761936
SGD,1.495855,2025-04-10,1.7266393409508287
SHP,0.884664,2025-04-10,1.021152227938486
SHP,0.893689,2025-04-20,1.0424606433310626
SLE,25.900536,2025-04-20,30.212176071518552
SLE,25.644858,2025-04-10,29.601412380142186
SLL,23847.250746,2025-04-20,27817.082177751236
SLL,23606.460784,2025-04-10,27248.52602041464
SOS,649.934576,2025-04-20,758.1286288855086
SOS,643.372986,2025-04-10,742.634218244821
SRD,41.585668,2025-04-10,48.00161137845578
SRD,42.248639,2025-04-20,49.2817337930777
STD,23538.488054,2025-04-20,27456.92002454251
STD,23300.796479,2025-04-10,26895.703043496833
SVC,9.854956,2025-04-10,11.375403854611186
SVC,9.945212,2025-04-20,11.600782934089827
SYP,14637.38823,2025-04-10,16895.681978994366
SYP,14786.177003,2025-04-20,17247.619239975364
SZL,21.896038,2025-04-10,25.274214828144643
SZL,21.403049,2025-04-20,24.96599625796698
THB,37.923405,2025-04-20,44.23648178908372
THB,38.073042,2025-04-10,43.94704844177626
TJS,12.206811,2025-04-20,14.23886838495348
TJS,12.236613,2025-04-10,14.124508997055425
TMT,3.980326,2025-04-20,4.642927464282714
TMT,3.940133,2025-04-10,4.548026811675337
TND,3.434715,2025-04-10,3.9646316280347533
TND,3.398111,2025-04-20,3.9637916312837693
TOP,2.663517,2025-04-20,3.1069103965061915
TOP,2.63663,2025-04-10,3.0434160299836437
TRY,42.824171,2025-04-10,49.43119379365353
TRY,43.355778,2025-04-20,50.57317727531471
TTD,7.712041,2025-04-20,8.995857868067674
TTD,7.647121,2025-04-10,8.8269384155625
TWD,36.926472,2025-04-10,42.623582685299866
TWD,36.987487,2025-04-20,43.144762320247104
TZS,3056.317973,2025-04-20,3565.1006114631255
TZS,2994.500041,2025-04-10,3456.499177573675
UAH,46.665632,2025-04-10,53.86532523642593
UAH,47.101683,2025-04-20,54.942659876260954
UGX,4150.364793,2025-04-10,4790.693704196625
UGX,4166.329832,2025-04-20,4859.8951950803
USD,1.125752,2025-04-10,1.2994359021122217
USD,1.137236,2025-04-20,1.3265507040807756
UYU,47.664978,2025-04-20,55.59972611304485
UYU,48.37518,2025-04-10,55.8386266807797
UZS,14606.633891,2025-04-10,16860.18278179789
UZS,14768.739292,2025-04-20,17227.27868814214
VES,86.81581,2025-04-10,100.20997554075252
VES,91.955341,2025-04-20,107.26306795382648
VND,29005.003968,2025-04-10,33479.97027491548
VND,29420.293975,2025-04-20,34317.865145668664
VUV,137.567375,2025-04-20,160.46809823536546
VUV,142.048372,2025-04-10,163.96395868130145
WST,3.246868,2025-04-10,3.7478031117149295
WST,3.158108,2025-04-20,3.6838355371823703
XAF,666.773514,2025-04-10,769.6450396438346
XAF,656.312471,2025-04-20,765.5682466102405
XAG,0.036078,2025-04-10,0.04164420625182521
XAG,0.034868,2025-04-20,0.0406724461324549
XAU,0.000353,2025-04-10,0.0004074617441902073
XAU,0.000342,2025-04-20,0.00039893244743890034
